num,Cargo,Empresa,Industria,Region,Modalidad,Seniority,Salario,Skills,Exp_minima,Fuente,Notas,Es_Duplicado,ID,Tipo_Rol,skill_SQL,skill_Power_BI,skill_Python,skill_Excel,skill_Tableau,skill_GCP_BigQuery,skill_AWS,skill_Azure,skill_DAX,skill_Machine_Learning,skill_ETL,skill_Looker,skill_Databricks,skill_Scrum,skill_Ingles,skill_IA_GenAI,skill_SAP,skill_R_lang,Seniority_norm,Modalidad_norm
43.0,Desarrollador Senior NodeJs y TypeScript,Perceptual,TI,Huechuraba,Híbrido,Senior,No especificado,"NodeJS, TypeScript, AWS, PostgreSQL",3 años,Trabajando,Backend,False,71,Analista de Datos General,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Senior,Híbrido
44.0,Analista Contratos y Adm. de Terceros,Chilexpress,Logística,Huechuraba,Híbrido,Analista,No especificado,"Excel, Power BI, SAP",2 años,Trabajando,Proveedores,False,72,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No especificado,Híbrido
45.0,Analista de Subsidios,Nueva Masvida,Salud,Las Condes,Presencial,Analista,No especificado,"Excel, SQL, Power BI",2 años,Trabajando,Isapre,False,73,BI / Analytics,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No especificado,Presencial
46.0,Ingeniero Comercial Procurement,Confidencial,Seguros,Las Condes,Híbrido,Junior,1000000,"Excel, SAP, Compras",1 año,Trabajando,Procurement,False,74,Analista de Datos General,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Junior,Híbrido
47.0,Administrador Infraestructura AWS,Perceptual,TI,Santiago,Presencial,Administrador,No especificado,"AWS, Linux, SQL Server, Oracle",1 año,Trabajando,Infraestructura,False,75,Analista de Datos General,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No especificado,Presencial
48.0,Analista de Demanda,Comercial de Campo,Alimentos,Huechuraba,Presencial,Analista,No especificado,"Excel, Power BI, SAP",1 año,Trabajando,Forecast,False,76,BI / Analytics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No especificado,Presencial
49.0,Analista BI,BC Tecnología,TI,Santiago,Híbrido,Semi-Senior,No especificado,"Power BI, SQL, Python",2 años,GetOnBoard,BI,False,77,BI / Analytics,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
50.0,Data Analyst,BC Tecnología,TI,Santiago,Híbrido,Semi-Senior,No especificado,"SQL, Python, GCP, Power BI",2 años,GetOnBoard,Risk Ops,False,78,BI / Analytics,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Senior,Híbrido
51.0,Analista de Datos SQL,Perceptual,Financiero,Santiago,Híbrido,Analista,A convenir,"SQL, PostgreSQL, Python, Tableau",3 años,BNE,Datos,False,79,BI / Analytics,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,Híbrido
52.0,Analista Trade Marketing,Retail Confidencial,Retail,Santiago,Presencial,Analista,No especificado,"Excel, KPIs, Market Share",1 año,BNE,Trade,False,80,Analista de Datos General,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,Presencial
53.0,Analista Protección de Datos,PS Grupo Hunting,Compliance,Santiago,Híbrido,Analista,No especificado,"Protección de datos, Riesgos",2 años,BNE,Privacidad,False,81,Privacidad / Compliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,Híbrido
54.0,Ingeniero Analista de Datos,Xinerlink,Retail,Las Condes,Presencial,Analista,1200000,"Power BI, SQL, Data Factory",1 año,BNE,Proyecto,False,82,BI / Analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,Presencial
55.0,Analista Datos Santiago,Komatsu Cummins,Industrial,Santiago,Presencial,Senior,No especificado,"SQL, Python, ETL",4 años,BNE,Duplicada,False,83,Data Engineering,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Senior,Presencial
56.0,Analista Datos y Control Gestión,Empresa Internacional,Acuícola,Puerto Varas,Presencial,Junior,No especificado,"Excel, Power BI, SQL",0-3 años,BNE,Control gestión,False,84,BI / Analytics,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Presencial
57.0,Analista Datos Automatización Auditoría,AFP Modelo,Financiero,Santiago,Híbrido,Analista,No especificado,"SQL, Power Automate, IA",2 años,BNE,Auditoría,False,85,Analista de Datos General,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No especificado,Híbrido
58.0,Analista Datos Geomático Forestal,Rabanal y Stenger,Forestal,Ecuador,Presencial,Senior,No especificado,"ArcGIS, Python, SIG",5 años,BNE,Geomática,False,86,Analista de Datos General,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior,Presencial
59.0,Analista Calidad de Datos SQL,Kibernum,TI,Santiago,Híbrido,Analista,No especificado,"SQL, ETL, Power BI",2 años,BNE,Calidad datos,False,87,BI / Analytics,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No especificado,Híbrido
60.0,Analista Junior Datos y Automatización,RyC Consultores,TI,Santiago,Híbrido,Junior,No especificado,"SQL, Power BI, PowerShell",0-1 años,BNE,Junior,False,88,BI / Analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior,Híbrido
61.0,Analista Datos Junior,Kibernum,TI,Santiago,Híbrido,Junior,850000,"Python, SQL, ETL",1 año,BNE,Junior,False,89,Data Engineering,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Junior,Híbrido
